sample	subject	timepoint	species	cluster	within_abund	coverage	support
S11-9	S11	9	Actinomyces_odontolyticus	C2	0.2222	0.13	144
S11-9	S11	9	Actinomyces_odontolyticus	C4	0.2222	0.28	376
S11-9	S11	9	Actinomyces_odontolyticus	C9	0.2222	0.11	127
S11-9	S11	9	Gemella_haemolysans	C6	0.5366	0.22	26
S11-9	S11	9	Gemella_haemolysans	C10	0.2927	0.27	12
S11-9	S11	9	Gemella_haemolysans	C9	0.1057	0.12	14
S11-9	S11	9	Gemella_haemolysans	C3	0.0325	0.27	12
S11-9	S11	9	Gemella_haemolysans	C4	0.0325	0.29	12
S11-9	S11	9	Granulicatella_adiacens	C9	0.2162	0.13	39
S11-9	S11	9	Granulicatella_adiacens	C8	0.1532	0.11	35
S11-9	S11	9	Granulicatella_adiacens	C11	0.1261	0.22	16
S11-9	S11	9	Granulicatella_adiacens	C10	0.1171	0.24	14
S11-9	S11	9	Granulicatella_adiacens	C2	0.0901	0.30	17
S11-9	S11	9	Granulicatella_adiacens	C6	0.0901	0.24	15
S11-9	S11	9	Granulicatella_adiacens	C5	0.0811	0.19	18
S11-9	S11	9	Granulicatella_adiacens	C3	0.0721	0.27	41
S11-9	S11	9	Granulicatella_adiacens	C7	0.0541	0.16	10
S11-9	S11	9	Haemophilus_parainfluenzae	C7	0.1486	0.15	22
S11-9	S11	9	Haemophilus_parainfluenzae	C17	0.1085	0.11	28
S11-9	S11	9	Haemophilus_parainfluenzae	C16	0.1038	0.13	28
S11-9	S11	9	Haemophilus_parainfluenzae	C0	0.0708	0.17	32
S11-9	S11	9	Haemophilus_parainfluenzae	C4	0.0708	0.27	44
S11-9	S11	9	Haemophilus_parainfluenzae	C3	0.0660	0.21	33
S11-9	S11	9	Haemophilus_parainfluenzae	C9	0.0613	0.10	15
S11-9	S11	9	Haemophilus_parainfluenzae	C1	0.0566	0.29	39
S11-9	S11	9	Haemophilus_parainfluenzae	C11	0.0472	0.12	13
S11-9	S11	9	Haemophilus_parainfluenzae	C19	0.0472	0.31	41
S11-9	S11	9	Haemophilus_parainfluenzae	C2	0.0401	0.15	27
S11-9	S11	9	Haemophilus_parainfluenzae	C8	0.0377	0.13	22
S11-9	S11	9	Haemophilus_parainfluenzae	C5	0.0330	0.16	18
S11-9	S11	9	Haemophilus_parainfluenzae	C12	0.0330	0.16	17
S11-9	S11	9	Haemophilus_parainfluenzae	C13	0.0283	0.19	23
S11-9	S11	9	Haemophilus_parainfluenzae	C14	0.0259	0.24	19
S11-9	S11	9	Haemophilus_parainfluenzae	C6	0.0212	0.16	21
S11-9	S11	9	Neisseria_subflava	C1	0.3089	0.58	339
S11-9	S11	9	Neisseria_subflava	C7	0.1638	0.35	46
S11-9	S11	9	Neisseria_subflava	C4	0.1073	0.34	176
S11-9	S11	9	Neisseria_subflava	C3	0.1064	0.26	153
S11-9	S11	9	Neisseria_subflava	C6	0.0838	0.29	152
S11-9	S11	9	Neisseria_subflava	C5	0.0829	0.29	129
S11-9	S11	9	Neisseria_subflava	C0	0.0753	0.28	162
S11-9	S11	9	Neisseria_subflava	C2	0.0490	0.22	145
S11-9	S11	9	Neisseria_subflava	C8	0.0226	0.26	38
S11-9	S11	9	Porphyromonas_gingivalis	C14	0.4196	0.21	18
S11-9	S11	9	Porphyromonas_gingivalis	C12	0.2988	0.19	30
S11-9	S11	9	Porphyromonas_gingivalis	C8	0.1708	0.22	19
S11-9	S11	9	Porphyromonas_gingivalis	C13	0.1108	0.10	17
S11-9	S11	9	Prevotella_melaninogenica	C1	0.4473	0.51	334
S11-9	S11	9	Prevotella_melaninogenica	C9	0.1725	0.57	257
S11-9	S11	9	Prevotella_melaninogenica	C8	0.1342	0.60	262
S11-9	S11	9	Prevotella_melaninogenica	C4	0.0831	0.34	123
S11-9	S11	9	Prevotella_melaninogenica	C10	0.0463	0.21	57
S11-9	S11	9	Prevotella_melaninogenica	C0	0.0415	0.28	83
S11-9	S11	9	Prevotella_melaninogenica	C7	0.0319	0.28	94
S11-9	S11	9	Prevotella_melaninogenica	C2	0.0224	0.30	72
S11-9	S11	9	Prevotella_melaninogenica	C3	0.0208	0.18	42
S11-9	S11	9	Rothia_dentocariosa	C1	0.1250	0.15	43
S11-9	S11	9	Rothia_dentocariosa	C6	0.1154	0.16	30
S11-9	S11	9	Rothia_dentocariosa	C7	0.1154	0.16	32
S11-9	S11	9	Rothia_dentocariosa	C5	0.0962	0.14	14
S11-9	S11	9	Rothia_dentocariosa	C9	0.0962	0.12	25
S11-9	S11	9	Rothia_dentocariosa	C10	0.0962	0.20	36
S11-9	S11	9	Rothia_dentocariosa	C11	0.0962	0.13	34
S11-9	S11	9	Rothia_dentocariosa	C4	0.0865	0.12	27
S11-9	S11	9	Rothia_dentocariosa	C12	0.0769	0.23	49
S11-9	S11	9	Rothia_dentocariosa	C8	0.0577	0.13	26
S11-9	S11	9	Rothia_dentocariosa	C3	0.0385	0.16	29
S11-9	S11	9	Rothia_mucilaginosa	C4	0.4510	0.14	51
S11-9	S11	9	Rothia_mucilaginosa	C1	0.2745	0.13	60
S11-9	S11	9	Rothia_mucilaginosa	C10	0.2745	0.19	115
S11-9	S11	9	Streptococcus_gordonii	C7	0.5053	0.15	11
S11-9	S11	9	Streptococcus_gordonii	C9	0.2000	0.13	15
S11-9	S11	9	Streptococcus_gordonii	C2	0.1158	0.23	11
S11-9	S11	9	Streptococcus_gordonii	C6	0.0947	0.16	17
S11-9	S11	9	Streptococcus_gordonii	C5	0.0842	0.17	11
S11-9	S11	9	Streptococcus_mitis	C13	0.1201	0.31	39
S11-9	S11	9	Streptococcus_mitis	C8	0.1109	0.25	42
S11-9	S11	9	Streptococcus_mitis	C3	0.0878	0.40	44
S11-9	S11	9	Streptococcus_mitis	C0	0.0785	0.21	35
S11-9	S11	9	Streptococcus_mitis	C12	0.0693	0.33	52
S11-9	S11	9	Streptococcus_mitis	C4	0.0600	0.42	70
S11-9	S11	9	Streptococcus_mitis	C5	0.0600	0.30	50
S11-9	S11	9	Streptococcus_mitis	C6	0.0600	0.36	62
S11-9	S11	9	Streptococcus_mitis	C7	0.0508	0.36	41
S11-9	S11	9	Streptococcus_mitis	C10	0.0508	0.24	39
S11-9	S11	9	Streptococcus_mitis	C11	0.0508	0.25	32
S11-9	S11	9	Streptococcus_mitis	C15	0.0485	0.29	36
S11-9	S11	9	Streptococcus_mitis	C1	0.0416	0.45	48
S11-9	S11	9	Streptococcus_mitis	C9	0.0416	0.24	39
S11-9	S11	9	Streptococcus_mitis	C2	0.0370	0.30	48
S11-9	S11	9	Streptococcus_mitis	C14	0.0323	0.41	63
S11-9	S11	9	Streptococcus_oralis	C18	0.0938	0.59	124
S11-9	S11	9	Streptococcus_oralis	C3	0.0840	0.34	66
S11-9	S11	9	Streptococcus_oralis	C4	0.0741	0.25	20
S11-9	S11	9	Streptococcus_oralis	C22	0.0741	0.28	60
S11-9	S11	9	Streptococcus_oralis	C12	0.0667	0.33	26
S11-9	S11	9	Streptococcus_oralis	C5	0.0617	0.22	23
S11-9	S11	9	Streptococcus_oralis	C2	0.0593	0.31	54
S11-9	S11	9	Streptococcus_oralis	C7	0.0593	0.24	20
S11-9	S11	9	Streptococcus_oralis	C15	0.0593	0.25	25
S11-9	S11	9	Streptococcus_oralis	C20	0.0568	0.27	19
S11-9	S11	9	Streptococcus_oralis	C17	0.0543	0.40	70
S11-9	S11	9	Streptococcus_oralis	C0	0.0494	0.31	34
S11-9	S11	9	Streptococcus_oralis	C21	0.0494	0.26	25
S11-9	S11	9	Streptococcus_oralis	C19	0.0395	0.27	27
S11-9	S11	9	Streptococcus_oralis	C6	0.0346	0.24	29
S11-9	S11	9	Streptococcus_oralis	C10	0.0346	0.20	14
S11-9	S11	9	Streptococcus_oralis	C1	0.0247	0.38	14
S11-9	S11	9	Streptococcus_oralis	C16	0.0247	0.25	43
S11-9	S11	9	Streptococcus_parasanguinis	C1	1.0000	0.15	12
S11-9	S11	9	Streptococcus_sanguinis	C0	0.1702	0.15	13
S11-9	S11	9	Streptococcus_sanguinis	C14	0.1702	0.12	11
S11-9	S11	9	Streptococcus_sanguinis	C22	0.1702	0.19	22
S11-9	S11	9	Streptococcus_sanguinis	C9	0.1277	0.24	11
S11-9	S11	9	Streptococcus_sanguinis	C10	0.1277	0.26	52
S11-9	S11	9	Streptococcus_sanguinis	C12	0.1277	0.14	12
S11-9	S11	9	Streptococcus_sanguinis	C15	0.1064	0.15	11
S11-9	S11	9	Veillonella_atypica	C2	0.3881	0.17	27
S11-9	S11	9	Veillonella_atypica	C10	0.2687	0.15	21
S11-9	S11	9	Veillonella_atypica	C9	0.1791	0.12	10
S11-9	S11	9	Veillonella_atypica	C8	0.1642	0.20	26
S11-9	S11	9	Veillonella_dispar	C7	0.9700	0.24	26
S11-9	S11	9	Veillonella_dispar	C6	0.0300	0.13	17
S11-9	S11	9	Veillonella_parvula	C11	0.2647	0.20	16
S11-9	S11	9	Veillonella_parvula	C10	0.2353	0.18	18
S11-9	S11	9	Veillonella_parvula	C0	0.1691	0.21	25
S11-9	S11	9	Veillonella_parvula	C2	0.0882	0.20	12
S11-9	S11	9	Veillonella_parvula	C9	0.0735	0.27	27
S11-9	S11	9	Veillonella_parvula	C7	0.0662	0.28	27
S11-9	S11	9	Veillonella_parvula	C5	0.0588	0.19	13
S11-9	S11	9	Veillonella_parvula	C3	0.0441	0.16	14
S13-11	S13	11	Gemella_haemolysans	C8	1.0000	0.23	12
S13-11	S13	11	Granulicatella_adiacens	C9	1.0000	0.10	16
S13-11	S13	11	Haemophilus_parainfluenzae	C3	0.1061	0.17	26
S13-11	S13	11	Haemophilus_parainfluenzae	C7	0.0985	0.11	15
S13-11	S13	11	Haemophilus_parainfluenzae	C5	0.0909	0.15	19
S13-11	S13	11	Haemophilus_parainfluenzae	C15	0.0909	0.26	27
S13-11	S13	11	Haemophilus_parainfluenzae	C1	0.0833	0.21	27
S13-11	S13	11	Haemophilus_parainfluenzae	C4	0.0758	0.19	28
S13-11	S13	11	Haemophilus_parainfluenzae	C19	0.0758	0.29	39
S13-11	S13	11	Haemophilus_parainfluenzae	C8	0.0682	0.13	24
S13-11	S13	11	Haemophilus_parainfluenzae	C0	0.0606	0.16	24
S13-11	S13	11	Haemophilus_parainfluenzae	C13	0.0606	0.10	18
S13-11	S13	11	Haemophilus_parainfluenzae	C14	0.0606	0.36	27
S13-11	S13	11	Haemophilus_parainfluenzae	C16	0.0606	0.11	18
S13-11	S13	11	Haemophilus_parainfluenzae	C11	0.0379	0.13	11
S13-11	S13	11	Haemophilus_parainfluenzae	C2	0.0303	0.11	13
S13-11	S13	11	Neisseria_subflava	C3	0.1489	0.18	104
S13-11	S13	11	Neisseria_subflava	C7	0.1383	0.34	44
S13-11	S13	11	Neisseria_subflava	C2	0.1277	0.18	116
S13-11	S13	11	Neisseria_subflava	C4	0.1170	0.27	131
S13-11	S13	11	Neisseria_subflava	C0	0.1064	0.21	111
S13-11	S13	11	Neisseria_subflava	C5	0.1064	0.24	88
S13-11	S13	11	Neisseria_subflava	C8	0.1064	0.21	28
S13-11	S13	11	Neisseria_subflava	C6	0.0851	0.28	140
S13-11	S13	11	Neisseria_subflava	C1	0.0638	0.28	136
S13-11	S13	11	Prevotella_melaninogenica	C9	1.0000	0.12	41
S13-11	S13	11	Rothia_dentocariosa	C5	0.4706	0.23	23
S13-11	S13	11	Rothia_dentocariosa	C6	0.1765	0.10	17
S13-11	S13	11	Rothia_dentocariosa	C8	0.1176	0.23	38
S13-11	S13	11	Rothia_dentocariosa	C10	0.1176	0.16	20
S13-11	S13	11	Rothia_dentocariosa	C12	0.1176	0.10	19
S13-11	S13	11	Rothia_mucilaginosa	C4	0.3889	0.16	58
S13-11	S13	11	Rothia_mucilaginosa	C1	0.3333	0.21	94
S13-11	S13	11	Rothia_mucilaginosa	C10	0.2778	0.33	192
S13-11	S13	11	Streptococcus_mitis	C10	0.1641	0.12	17
S13-11	S13	11	Streptococcus_mitis	C13	0.1172	0.24	30
S13-11	S13	11	Streptococcus_mitis	C2	0.1133	0.16	27
S13-11	S13	11	Streptococcus_mitis	C0	0.0703	0.12	18
S13-11	S13	11	Streptococcus_mitis	C3	0.0547	0.21	23
S13-11	S13	11	Streptococcus_mitis	C6	0.0547	0.30	43
S13-11	S13	11	Streptococcus_mitis	C8	0.0547	0.10	18
S13-11	S13	11	Streptococcus_mitis	C9	0.0547	0.13	22
S13-11	S13	11	Streptococcus_mitis	C12	0.0547	0.20	29
S13-11	S13	11	Streptococcus_mitis	C4	0.0508	0.22	33
S13-11	S13	11	Streptococcus_mitis	C7	0.0469	0.23	23
S13-11	S13	11	Streptococcus_mitis	C14	0.0391	0.20	23
S13-11	S13	11	Streptococcus_mitis	C1	0.0312	0.24	24
S13-11	S13	11	Streptococcus_mitis	C5	0.0312	0.19	30
S13-11	S13	11	Streptococcus_mitis	C11	0.0312	0.12	16
S13-11	S13	11	Streptococcus_mitis	C15	0.0312	0.11	12
S13-11	S13	11	Streptococcus_oralis	C19	0.1636	0.12	10
S13-11	S13	11	Streptococcus_oralis	C3	0.0909	0.18	26
S13-11	S13	11	Streptococcus_oralis	C5	0.0909	0.12	11
S13-11	S13	11	Streptococcus_oralis	C16	0.0909	0.12	18
S13-11	S13	11	Streptococcus_oralis	C0	0.0818	0.13	14
S13-11	S13	11	Streptococcus_oralis	C6	0.0727	0.11	13
S13-11	S13	11	Streptococcus_oralis	C7	0.0727	0.15	10
S13-11	S13	11	Streptococcus_oralis	C12	0.0727	0.22	20
S13-11	S13	11	Streptococcus_oralis	C22	0.0636	0.10	19
S13-11	S13	11	Streptococcus_oralis	C2	0.0545	0.13	20
S13-11	S13	11	Streptococcus_oralis	C17	0.0545	0.15	20
S13-11	S13	11	Streptococcus_oralis	C18	0.0455	0.18	33
S13-11	S13	11	Streptococcus_oralis	C21	0.0455	0.11	11
S13-11	S13	11	Streptococcus_sanguinis	C4	0.1613	0.54	59
S13-11	S13	11	Streptococcus_sanguinis	C13	0.1452	0.16	11
S13-11	S13	11	Streptococcus_sanguinis	C0	0.1290	0.28	29
S13-11	S13	11	Streptococcus_sanguinis	C7	0.1290	0.16	21
S13-11	S13	11	Streptococcus_sanguinis	C5	0.0968	0.12	12
S13-11	S13	11	Streptococcus_sanguinis	C9	0.0806	0.25	10
S13-11	S13	11	Streptococcus_sanguinis	C10	0.0645	0.22	36
S13-11	S13	11	Streptococcus_sanguinis	C11	0.0645	0.24	24
S13-11	S13	11	Streptococcus_sanguinis	C12	0.0645	0.13	10
S13-11	S13	11	Streptococcus_sanguinis	C22	0.0645	0.14	11
S13-11	S13	11	Veillonella_dispar	C7	0.9262	0.22	25
S13-11	S13	11	Veillonella_dispar	C6	0.0470	0.10	11
S13-11	S13	11	Veillonella_dispar	C1	0.0268	0.32	96
S13-11	S13	11	Veillonella_parvula	C12	1.0000	0.27	11
S13-12	S13	12	Granulicatella_adiacens	C9	0.4000	0.11	35
S13-12	S13	12	Granulicatella_adiacens	C4	0.3000	0.24	10
S13-12	S13	12	Granulicatella_adiacens	C8	0.3000	0.11	33
S13-12	S13	12	Haemophilus_parainfluenzae	C14	0.1208	0.32	27
S13-12	S13	12	Haemophilus_parainfluenzae	C13	0.0772	0.18	27
S13-12	S13	12	Haemophilus_parainfluenzae	C3	0.0738	0.27	45
S13-12	S13	12	Haemophilus_parainfluenzae	C12	0.0738	0.12	13
S13-12	S13	12	Haemophilus_parainfluenzae	C8	0.0671	0.19	28
S13-12	S13	12	Haemophilus_parainfluenzae	C15	0.0604	0.31	35
S13-12	S13	12	Haemophilus_parainfluenzae	C16	0.0604	0.17	35
S13-12	S13	12	Haemophilus_parainfluenzae	C5	0.0570	0.11	15
S13-12	S13	12	Haemophilus_parainfluenzae	C19	0.0537	0.29	36
S13-12	S13	12	Haemophilus_parainfluenzae	C1	0.0470	0.29	37
S13-12	S13	12	Haemophilus_parainfluenzae	C4	0.0470	0.32	49
S13-12	S13	12	Haemophilus_parainfluenzae	C7	0.0470	0.12	18
S13-12	S13	12	Haemophilus_parainfluenzae	C9	0.0470	0.13	20
S13-12	S13	12	Haemophilus_parainfluenzae	C18	0.0470	0.11	18
S13-12	S13	12	Haemophilus_parainfluenzae	C0	0.0403	0.14	24
S13-12	S13	12	Haemophilus_parainfluenzae	C2	0.0268	0.23	30
S13-12	S13	12	Haemophilus_parainfluenzae	C11	0.0268	0.15	15
S13-12	S13	12	Haemophilus_parainfluenzae	C17	0.0268	0.24	40
S13-12	S13	12	Neisseria_subflava	C3	0.2632	0.12	60
S13-12	S13	12	Neisseria_subflava	C2	0.2237	0.11	59
S13-12	S13	12	Neisseria_subflava	C8	0.1316	0.16	21
S13-12	S13	12	Neisseria_subflava	C5	0.1184	0.18	72
S13-12	S13	12	Neisseria_subflava	C0	0.0921	0.14	67
S13-12	S13	12	Neisseria_subflava	C6	0.0658	0.16	77
S13-12	S13	12	Neisseria_subflava	C1	0.0526	0.25	109
S13-12	S13	12	Neisseria_subflava	C4	0.0263	0.25	89
S13-12	S13	12	Neisseria_subflava	C7	0.0263	0.24	22
S13-12	S13	12	Prevotella_melaninogenica	C9	1.0000	0.11	40
S13-12	S13	12	Rothia_dentocariosa	C5	1.0000	0.19	23
S13-12	S13	12	Rothia_mucilaginosa	C4	0.4081	0.13	58
S13-12	S13	12	Rothia_mucilaginosa	C10	0.3224	0.19	123
S13-12	S13	12	Rothia_mucilaginosa	C1	0.2695	0.10	48
S13-12	S13	12	Streptococcus_mitis	C8	0.1633	0.10	14
S13-12	S13	12	Streptococcus_mitis	C13	0.1224	0.15	14
S13-12	S13	12	Streptococcus_mitis	C9	0.1020	0.11	14
S13-12	S13	12	Streptococcus_mitis	C0	0.0816	0.10	10
S13-12	S13	12	Streptococcus_mitis	C2	0.0816	0.15	20
S13-12	S13	12	Streptococcus_mitis	C7	0.0816	0.16	12
S13-12	S13	12	Streptococcus_mitis	C11	0.0816	0.12	12
S13-12	S13	12	Streptococcus_mitis	C4	0.0612	0.12	11
S13-12	S13	12	Streptococcus_mitis	C5	0.0612	0.10	10
S13-12	S13	12	Streptococcus_mitis	C1	0.0408	0.18	10
S13-12	S13	12	Streptococcus_mitis	C6	0.0408	0.15	13
S13-12	S13	12	Streptococcus_mitis	C12	0.0408	0.13	11
S13-12	S13	12	Streptococcus_mitis	C14	0.0408	0.14	12
S13-12	S13	12	Streptococcus_sanguinis	C22	0.1829	0.32	41
S13-12	S13	12	Streptococcus_sanguinis	C15	0.1486	0.50	54
S13-12	S13	12	Streptococcus_sanguinis	C9	0.1029	0.25	15
S13-12	S13	12	Streptococcus_sanguinis	C10	0.1029	0.22	54
S13-12	S13	12	Streptococcus_sanguinis	C12	0.1029	0.17	20
S13-12	S13	12	Streptococcus_sanguinis	C6	0.0857	0.12	11
S13-12	S13	12	Streptococcus_sanguinis	C5	0.0800	0.12	11
S13-12	S13	12	Streptococcus_sanguinis	C0	0.0629	0.22	26
S13-12	S13	12	Streptococcus_sanguinis	C7	0.0457	0.13	17
S13-12	S13	12	Streptococcus_sanguinis	C11	0.0457	0.22	25
S13-12	S13	12	Streptococcus_sanguinis	C1	0.0400	0.31	11
S13-12	S13	12	Veillonella_dispar	C7	1.0000	0.20	22
S13-12	S13	12	Veillonella_parvula	C7	1.0000	0.20	18
S13-14	S13	14	Actinomyces_odontolyticus	C1	0.3333	0.25	202
S13-14	S13	14	Actinomyces_odontolyticus	C2	0.3333	0.16	179
S13-14	S13	14	Actinomyces_odontolyticus	C4	0.1667	0.11	136
S13-14	S13	14	Actinomyces_odontolyticus	C6	0.1667	0.11	124
S13-14	S13	14	Gemella_haemolysans	C10	0.5476	0.27	11
S13-14	S13	14	Gemella_haemolysans	C8	0.3095	0.33	17
S13-14	S13	14	Gemella_haemolysans	C5	0.1429	0.32	10
S13-14	S13	14	Granulicatella_adiacens	C9	0.4667	0.46	148
S13-14	S13	14	Granulicatella_adiacens	C8	0.3333	0.38	129
S13-14	S13	14	Granulicatella_adiacens	C3	0.2000	0.10	13
S13-14	S13	14	Haemophilus_parainfluenzae	C16	0.1076	0.11	22
S13-14	S13	14	Haemophilus_parainfluenzae	C7	0.0987	0.17	24
S13-14	S13	14	Haemophilus_parainfluenzae	C18	0.0987	0.15	22
S13-14	S13	14	Haemophilus_parainfluenzae	C13	0.0897	0.20	30
S13-14	S13	14	Haemophilus_parainfluenzae	C0	0.0717	0.19	33
S13-14	S13	14	Haemophilus_parainfluenzae	C8	0.0538	0.22	35
S13-14	S13	14	Haemophilus_parainfluenzae	C10	0.0538	0.17	11
S13-14	S13	14	Haemophilus_parainfluenzae	C1	0.0448	0.25	35
S13-14	S13	14	Haemophilus_parainfluenzae	C3	0.0448	0.25	37
S13-14	S13	14	Haemophilus_parainfluenzae	C6	0.0448	0.22	30
S13-14	S13	14	Haemophilus_parainfluenzae	C12	0.0448	0.18	17
S13-14	S13	14	Haemophilus_parainfluenzae	C5	0.0359	0.21	25
S13-14	S13	14	Haemophilus_parainfluenzae	C11	0.0359	0.14	12
S13-14	S13	14	Haemophilus_parainfluenzae	C15	0.0359	0.26	25
S13-14	S13	14	Haemophilus_parainfluenzae	C19	0.0359	0.30	40
S13-14	S13	14	Haemophilus_parainfluenzae	C4	0.0269	0.27	39
S13-14	S13	14	Haemophilus_parainfluenzae	C9	0.0269	0.20	26
S13-14	S13	14	Haemophilus_parainfluenzae	C14	0.0269	0.29	21
S13-14	S13	14	Haemophilus_parainfluenzae	C2	0.0224	0.14	21
S13-14	S13	14	Neisseria_subflava	C2	0.2654	0.28	193
S13-14	S13	14	Neisseria_subflava	C3	0.1517	0.21	125
S13-14	S13	14	Neisseria_subflava	C0	0.1327	0.23	129
S13-14	S13	14	Neisseria_subflava	C5	0.0948	0.17	69
S13-14	S13	14	Neisseria_subflava	C6	0.0948	0.19	97
S13-14	S13	14	Neisseria_subflava	C4	0.0758	0.20	97
S13-14	S13	14	Neisseria_subflava	C1	0.0664	0.33	174
S13-14	S13	14	Neisseria_subflava	C8	0.0664	0.18	26
S13-14	S13	14	Neisseria_subflava	C7	0.0521	0.21	22
S13-14	S13	14	Porphyromonas_gingivalis	C14	0.7234	0.13	14
S13-14	S13	14	Porphyromonas_gingivalis	C8	0.1277	0.12	10
S13-14	S13	14	Porphyromonas_gingivalis	C15	0.0957	0.14	15
S13-14	S13	14	Porphyromonas_gingivalis	C10	0.0532	0.12	10
S13-14	S13	14	Prevotella_melaninogenica	C1	0.2188	0.31	186
S13-14	S13	14	Prevotella_melaninogenica	C9	0.1250	0.49	209
S13-14	S13	14	Prevotella_melaninogenica	C8	0.0938	0.49	199
S13-14	S13	14	Prevotella_melaninogenica	C2	0.0833	0.36	92
S13-14	S13	14	Prevotella_melaninogenica	C4	0.0833	0.42	138
S13-14	S13	14	Prevotella_melaninogenica	C7	0.0833	0.32	108
S13-14	S13	14	Prevotella_melaninogenica	C0	0.0729	0.46	124
S13-14	S13	14	Prevotella_melaninogenica	C3	0.0729	0.33	68
S13-14	S13	14	Prevotella_melaninogenica	C10	0.0625	0.38	106
S13-14	S13	14	Prevotella_melaninogenica	C5	0.0521	0.23	59
S13-14	S13	14	Prevotella_melaninogenica	C6	0.0521	0.25	48
S13-14	S13	14	Rothia_dentocariosa	C1	0.6667	0.36	102
S13-14	S13	14	Rothia_dentocariosa	C3	0.3333	0.48	100
S13-14	S13	14	Rothia_mucilaginosa	C6	0.1595	0.11	23
S13-14	S13	14	Rothia_mucilaginosa	C1	0.1472	0.17	83
S13-14	S13	14	Rothia_mucilaginosa	C10	0.1411	0.20	116
S13-14	S13	14	Rothia_mucilaginosa	C0	0.1166	0.15	48
S13-14	S13	14	Rothia_mucilaginosa	C4	0.1043	0.16	64
S13-14	S13	14	Rothia_mucilaginosa	C8	0.0951	0.13	33
S13-14	S13	14	Rothia_mucilaginosa	C9	0.0859	0.11	26
S13-14	S13	14	Rothia_mucilaginosa	C5	0.0613	0.12	50
S13-14	S13	14	Rothia_mucilaginosa	C7	0.0460	0.13	29
S13-14	S13	14	Rothia_mucilaginosa	C2	0.0429	0.10	28
S13-14	S13	14	Streptococcus_gordonii	C5	0.3111	0.14	12
S13-14	S13	14	Streptococcus_gordonii	C10	0.2667	0.18	14
S13-14	S13	14	Streptococcus_gordonii	C3	0.1778	0.19	10
S13-14	S13	14	Streptococcus_gordonii	C2	0.1333	0.22	11
S13-14	S13	14	Streptococcus_gordonii	C4	0.1111	0.21	10
S13-14	S13	14	Streptococcus_mitis	C13	0.1232	0.23	28
S13-14	S13	14	Streptococcus_mitis	C0	0.1185	0.14	21
S13-14	S13	14	Streptococcus_mitis	C2	0.0900	0.19	29
S13-14	S13	14	Streptococcus_mitis	C4	0.0758	0.27	41
S13-14	S13	14	Streptococcus_mitis	C8	0.0758	0.20	29
S13-14	S13	14	Streptococcus_mitis	C12	0.0758	0.22	33
S13-14	S13	14	Streptococcus_mitis	C5	0.0569	0.22	39
S13-14	S13	14	Streptococcus_mitis	C11	0.0569	0.19	25
S13-14	S13	14	Streptococcus_mitis	C15	0.0569	0.19	19
S13-14	S13	14	Streptococcus_mitis	C6	0.0521	0.33	55
S13-14	S13	14	Streptococcus_mitis	C7	0.0474	0.34	34
S13-14	S13	14	Streptococcus_mitis	C3	0.0379	0.22	19
S13-14	S13	14	Streptococcus_mitis	C9	0.0379	0.21	32
S13-14	S13	14	Streptococcus_mitis	C14	0.0379	0.34	48
S13-14	S13	14	Streptococcus_mitis	C1	0.0284	0.34	33
S13-14	S13	14	Streptococcus_mitis	C10	0.0284	0.17	22
S13-14	S13	14	Streptococcus_oralis	C7	0.1277	0.15	11
S13-14	S13	14	Streptococcus_oralis	C4	0.0851	0.21	17
S13-14	S13	14	Streptococcus_oralis	C19	0.0851	0.19	18
S13-14	S13	14	Streptococcus_oralis	C21	0.0851	0.15	15
S13-14	S13	14	Streptococcus_oralis	C3	0.0745	0.22	41
S13-14	S13	14	Streptococcus_oralis	C6	0.0745	0.17	20
S13-14	S13	14	Streptococcus_oralis	C18	0.0745	0.43	86
S13-14	S13	14	Streptococcus_oralis	C17	0.0532	0.22	36
S13-14	S13	14	Streptococcus_oralis	C10	0.0426	0.13	10
S13-14	S13	14	Streptococcus_oralis	C14	0.0426	0.19	16
S13-14	S13	14	Streptococcus_oralis	C16	0.0426	0.44	68
S13-14	S13	14	Streptococcus_oralis	C0	0.0319	0.16	17
S13-14	S13	14	Streptococcus_oralis	C2	0.0319	0.17	26
S13-14	S13	14	Streptococcus_oralis	C5	0.0319	0.17	12
S13-14	S13	14	Streptococcus_oralis	C12	0.0319	0.21	18
S13-14	S13	14	Streptococcus_oralis	C22	0.0319	0.15	23
S13-14	S13	14	Streptococcus_oralis	C15	0.0266	0.15	11
S13-14	S13	14	Streptococcus_oralis	C20	0.0266	0.20	11
S13-14	S13	14	Streptococcus_parasanguinis	C1	0.1071	0.22	19
S13-14	S13	14	Streptococcus_parasanguinis	C14	0.1071	0.11	10
S13-14	S13	14	Streptococcus_parasanguinis	C7	0.0918	0.12	14
S13-14	S13	14	Streptococcus_parasanguinis	C15	0.0816	0.21	26
S13-14	S13	14	Streptococcus_parasanguinis	C16	0.0816	0.16	14
S13-14	S13	14	Streptococcus_parasanguinis	C2	0.0714	0.16	16
S13-14	S13	14	Streptococcus_parasanguinis	C0	0.0663	0.14	13
S13-14	S13	14	Streptococcus_parasanguinis	C4	0.0612	0.20	16
S13-14	S13	14	Streptococcus_parasanguinis	C17	0.0612	0.11	13
S13-14	S13	14	Streptococcus_parasanguinis	C10	0.0561	0.20	21
S13-14	S13	14	Streptococcus_parasanguinis	C11	0.0510	0.12	12
S13-14	S13	14	Streptococcus_parasanguinis	C12	0.0510	0.16	14
