sample	subject	timepoint	species	cluster	within_abund	coverage	support
S11-14	S11	14	Haemophilus_parainfluenzae	C8	0.0699	0.18	27
S11-14	S11	14	Haemophilus_parainfluenzae	C18	0.0699	0.14	21
S11-14	S11	14	Haemophilus_parainfluenzae	C0	0.0559	0.20	36
S11-14	S11	14	Haemophilus_parainfluenzae	C3	0.0559	0.20	29
S11-14	S11	14	Haemophilus_parainfluenzae	C6	0.0559	0.19	26
S11-14	S11	14	Haemophilus_parainfluenzae	C7	0.0559	0.17	20
S11-14	S11	14	Haemophilus_parainfluenzae	C11	0.0559	0.13	11
S11-14	S11	14	Haemophilus_parainfluenzae	C13	0.0559	0.20	29
S11-14	S11	14	Haemophilus_parainfluenzae	C4	0.0490	0.22	30
S11-14	S11	14	Haemophilus_parainfluenzae	C5	0.0420	0.18	23
S11-14	S11	14	Haemophilus_parainfluenzae	C10	0.0420	0.18	10
S11-14	S11	14	Haemophilus_parainfluenzae	C14	0.0420	0.26	18
S11-14	S11	14	Haemophilus_parainfluenzae	C15	0.0420	0.30	25
S11-14	S11	14	Haemophilus_parainfluenzae	C9	0.0350	0.20	24
S11-14	S11	14	Haemophilus_parainfluenzae	C2	0.0280	0.12	16
S11-14	S11	14	Neisseria_subflava	C2	0.2538	0.24	169
S11-14	S11	14	Neisseria_subflava	C0	0.1231	0.20	108
S11-14	S11	14	Neisseria_subflava	C3	0.1231	0.19	107
S11-14	S11	14	Neisseria_subflava	C1	0.1077	0.29	146
S11-14	S11	14	Neisseria_subflava	C4	0.0923	0.17	75
S11-14	S11	14	Neisseria_subflava	C8	0.0923	0.16	17
S11-14	S11	14	Neisseria_subflava	C5	0.0769	0.16	61
S11-14	S11	14	Neisseria_subflava	C6	0.0769	0.17	83
S11-14	S11	14	Neisseria_subflava	C7	0.0538	0.15	17
S11-14	S11	14	Porphyromonas_gingivalis	C14	0.7308	0.13	14
S11-14	S11	14	Porphyromonas_gingivalis	C15	0.1923	0.11	11
S11-14	S11	14	Porphyromonas_gingivalis	C8	0.0769	0.12	10
S11-14	S11	14	Prevotella_melaninogenica	C1	0.2775	0.28	176
S11-14	S11	14	Prevotella_melaninogenica	C4	0.1040	0.39	128
S11-14	S11	14	Prevotella_melaninogenica	C9	0.1040	0.45	195
S11-14	S11	14	Prevotella_melaninogenica	C3	0.0867	0.26	64
S11-14	S11	14	Prevotella_melaninogenica	C7	0.0809	0.29	95
S11-14	S11	14	Prevotella_melaninogenica	C0	0.0751	0.37	98
S11-14	S11	14	Prevotella_melaninogenica	C8	0.0694	0.48	186
S11-14	S11	14	Prevotella_melaninogenica	C2	0.0578	0.34	94
S11-14	S11	14	Prevotella_melaninogenica	C5	0.0578	0.17	48
S11-14	S11	14	Prevotella_melaninogenica	C10	0.0462	0.33	91
S11-14	S11	14	Prevotella_melaninogenica	C6	0.0405	0.22	39
S11-14	S11	14	Rothia_dentocariosa	C1	0.6000	0.33	87
S11-14	S11	14	Rothia_dentocariosa	C3	0.4000	0.41	83
S11-14	S11	14	Rothia_mucilaginosa	C1	0.2333	0.15	77
S11-14	S11	14	Rothia_mucilaginosa	C10	0.2222	0.17	99
S11-14	S11	14	Rothia_mucilaginosa	C0	0.1778	0.13	34
S11-14	S11	14	Rothia_mucilaginosa	C4	0.1444	0.13	53
S11-14	S11	14	Rothia_mucilaginosa	C8	0.1333	0.12	30
S11-14	S11	14	Rothia_mucilaginosa	C5	0.0889	0.10	41
S11-14	S11	14	Streptococcus_gordonii	C7	0.1905	0.24	15
S11-14	S11	14	Streptococcus_gordonii	C9	0.1905	0.15	14
S11-14	S11	14	Streptococcus_gordonii	C5	0.1667	0.19	13
S11-14	S11	14	Streptococcus_gordonii	C6	0.1429	0.16	15
S11-14	S11	14	Streptococcus_gordonii	C2	0.1190	0.20	10
S11-14	S11	14	Streptococcus_gordonii	C3	0.0952	0.28	10
S11-14	S11	14	Streptococcus_gordonii	C10	0.0952	0.25	13
S11-14	S11	14	Streptococcus_mitis	C2	0.1364	0.17	25
S11-14	S11	14	Streptococcus_mitis	C0	0.1091	0.12	20
S11-14	S11	14	Streptococcus_mitis	C7	0.0955	0.29	29
S11-14	S11	14	Streptococcus_mitis	C10	0.0773	0.12	16
S11-14	S11	14	Streptococcus_mitis	C4	0.0591	0.24	35
S11-14	S11	14	Streptococcus_mitis	C6	0.0591	0.25	38
S11-14	S11	14	Streptococcus_mitis	C3	0.0545	0.17	15
S11-14	S11	14	Streptococcus_mitis	C5	0.0545	0.22	35
S11-14	S11	14	Streptococcus_mitis	C1	0.0500	0.27	26
S11-14	S11	14	Streptococcus_mitis	C8	0.0500	0.16	25
S11-14	S11	14	Streptococcus_mitis	C15	0.0500	0.17	18
S11-14	S11	14	Streptococcus_mitis	C13	0.0455	0.23	23
S11-14	S11	14	Streptococcus_mitis	C14	0.0455	0.18	26
S11-14	S11	14	Streptococcus_mitis	C12	0.0409	0.19	29
S11-14	S11	14	Streptococcus_mitis	C9	0.0364	0.16	23
S11-14	S11	14	Streptococcus_mitis	C11	0.0364	0.17	18
S11-14	S11	14	Streptococcus_oralis	C7	0.0966	0.16	13
S11-14	S11	14	Streptococcus_oralis	C6	0.0909	0.15	20
S11-14	S11	14	Streptococcus_oralis	C18	0.0909	0.38	74
S11-14	S11	14	Streptococcus_oralis	C4	0.0795	0.18	15
S11-14	S11	14	Streptococcus_oralis	C19	0.0795	0.15	15
S11-14	S11	14	Streptococcus_oralis	C21	0.0739	0.16	16
S11-14	S11	14	Streptococcus_oralis	C3	0.0682	0.23	43
S11-14	S11	14	Streptococcus_oralis	C14	0.0568	0.18	14
S11-14	S11	14	Streptococcus_oralis	C16	0.0568	0.45	76
S11-14	S11	14	Streptococcus_oralis	C9	0.0455	0.24	10
S11-14	S11	14	Streptococcus_oralis	C17	0.0455	0.23	35
S11-14	S11	14	Streptococcus_oralis	C2	0.0398	0.17	28
S11-14	S11	14	Streptococcus_oralis	C5	0.0398	0.18	15
S11-14	S11	14	Streptococcus_oralis	C0	0.0341	0.13	12
S11-14	S11	14	Streptococcus_oralis	C12	0.0341	0.22	15
S11-14	S11	14	Streptococcus_oralis	C15	0.0341	0.14	10
S11-14	S11	14	Streptococcus_oralis	C22	0.0341	0.13	22
S11-14	S11	14	Streptococcus_parasanguinis	C1	0.1553	0.21	21
S11-14	S11	14	Streptococcus_parasanguinis	C12	0.1359	0.15	12
S11-14	S11	14	Streptococcus_parasanguinis	C15	0.1068	0.18	23
S11-14	S11	14	Streptococcus_parasanguinis	C11	0.0971	0.12	13
S11-14	S11	14	Streptococcus_parasanguinis	C4	0.0874	0.17	14
S11-14	S11	14	Streptococcus_parasanguinis	C10	0.0777	0.17	16
S11-14	S11	14	Streptococcus_parasanguinis	C16	0.0777	0.16	12
S11-14	S11	14	Streptococcus_parasanguinis	C0	0.0583	0.14	10
S11-14	S11	14	Streptococcus_parasanguinis	C7	0.0583	0.19	19
S11-14	S11	14	Streptococcus_parasanguinis	C13	0.0583	0.12	14
S11-14	S11	14	Streptococcus_parasanguinis	C2	0.0485	0.17	16
S11-14	S11	14	Streptococcus_parasanguinis	C9	0.0388	0.27	20
S11-14	S11	14	Streptococcus_salivarius	C0	0.1963	0.36	38
S11-14	S11	14	Streptococcus_salivarius	C10	0.1718	0.16	12
S11-14	S11	14	Streptococcus_salivarius	C6	0.1595	0.13	14
S11-14	S11	14	Streptococcus_salivarius	C1	0.1534	0.24	25
S11-14	S11	14	Streptococcus_salivarius	C5	0.1472	0.37	17
S11-14	S11	14	Streptococcus_salivarius	C11	0.1104	0.23	12
S11-14	S11	14	Streptococcus_salivarius	C2	0.0613	0.23	16
